ATIVO;CATEGORIA;PREÇO MÉDIO;PREÇO ATUAL;DIFERENÇA (MÉDIO / ATUAL);QUANTIDADE;PATRIMÔNIO ATUAL;VARIAÇÃO HOJE;VARIAÇÃO ATUAL
ABCB4;Ações;14,61429987;23,21;58,82%;3128;72600,88;0,74%;58,82%
AGRO3;Ações;26,17;26,72;2,10%;500;13360;1,02%;2,10%
AURE3;Ações;11,79125;11,11;-5,78%;3200;35552;0,45%;-5,78%
BBAS3;Ações;21,2789899;28,35;33,23%;4950;140332,5;0,43%;33,23%
BBSE3;Ações;28,80690617;36,42;26,43%;3700;134754;0,89%;26,43%
BLAU3;Ações;26,45;13,95;-47,26%;500;6975;2,05%;-47,26%
BRBI11;Ações;16,14571429;15,8;-2,14%;700;11060;1,41%;-2,14%
BRKM5;Ações;29,85281111;18,19;-39,07%;900;16371;1,17%;-39,07%
CSAN3;Ações;13,62727273;13,06;-4,16%;1100;14366;1,71%;-4,16%
EGIE3;Ações;33,89964615;44,13;30,18%;1300;57369;0,52%;30,18%
ELET6;Ações;46,0525;46,17;0,26%;400;18468;1,14%;0,26%
ETER3;Ações;10,21892308;5,81;-43,14%;3250;18882,5;0,87%;-43,14%
EZTC3;Ações;16,37;14,22;-13,13%;1000;14220;3,12%;-13,13%
FLRY3;Ações;23,18449048;16,68;-28,06%;2100;35028;0,48%;-28,06%
IRBR3;Ações;50,83599231;47,74;-6,09%;345,0000333;16470,30159;1,90%;-6,09%
ITSA3;Ações;10,60694828;11,24;5,97%;4273;48028,52;0,27%;5,97%
ITSA4;Ações;10,45900383;11,25;7,56%;1827;20553,75;0,45%;7,56%
KLBN11;Ações;18,81185754;21,71;15,41%;3580;77721,8;0,09%;15,41%
LEVE3;Ações;24,12785714;30,85;27,86%;500;15425;0,46%;27,86%
MOVI3;Ações;19,44;7,05;-63,73%;1000;7050;5,07%;-63,73%
NEOE3;Ações;17,23909091;19,5;13,12%;1100;21450;0,52%;13,12%
PETR3;Ações;14,79;40,82;176,00%;100;4082;0,82%;176,00%
PETR4;Ações;34,34;37,18;8,27%;300;11154;0,84%;8,27%
RDOR3;Ações;44,93449782;34,07;-24,18%;229;7802,03;0,89%;-24,18%
SANB3;Ações;13,45511556;14,66;8,95%;4500;65970;0,14%;8,95%
TAEE11;Ações;27,18538462;35,26;29,70%;2600;91676;0,74%;29,70%
TASA4;Ações;12,86515625;11,18;-13,10%;3200;35776;-0,18%;-13,10%
TRPL4;Ações;23,005;24,85;8,02%;1600;39760;0,57%;8,02%
TTEN3;Ações;9,85277778;12,33;25,14%;1800;22194;0,49%;25,14%
UNIP6;Ações;49,6575;47,2;-4,95%;400;18880;1,09%;-4,95%
VALE3;Ações;67,79701389;58,15;-14,23%;1440;83736;0,07%;-14,23%
VIVT3;Ações;36,76633056;55,27;50,33%;500;27635;1,23%;50,33%
WIZC3;Ações;8,62636364;5,99;-30,56%;2200;13178;0,50%;-30,56%
